"ir","rss","amb","dis","obs","auc","f1","bac","spe","method","filter","data"
1.00024125452352,33,0.118819296034486,0.758890898131404,0.118819296034486,0.998641126629559,0.986873508353222,0.973467089104306,0.955367913148372,"adasyn","none","abalone_19"
1.00660327522451,17,0.0997291021671832,0.254605263157895,0.0997291021671832,0.987465287155727,0.942838792549775,0.915008067922908,0.868073878627968,"adasyn","none","abalone"
1.03420862442785,23,0.0982763056341652,0.340828402366864,0.0982763056341652,0.995091261352509,0.977670488835244,0.951949976815176,0.959254947613504,"adasyn","none","churn"
1.08431126808705,15,0.180431811970484,0.292702924296256,0.180431811970484,0.932255239000403,0.864577504196978,NA,NA,"adasyn","none","jm1"
1.01769406392694,16,0.209070014144272,0.770862800565771,0.209070014144272,0.968839535814326,0.920679886685552,NA,NA,"adasyn","none","kc1"
1.0317075211244,18,0.104831514652392,0.267860819435866,0.104831514652392,0.940577463522684,0.866427516353661,NA,NA,"adasyn","none","MagicTelescope"
1.00018309988099,35,0.0935879410129811,0.8207827878233,0.0935879410129811,0.98893429225237,0.962858486130701,0.954228065984359,0.976648351648352,"adasyn","none","mammography"
1.01390058972199,23,0.156240061787288,0.752351097178683,0.156240061787288,0.999213802140205,0.984646878198567,0.5,0,"adasyn","none","ozone_level_8hr"
1.02788844621514,18,0.170898170898171,0.742014742014742,0.170898170898171,0.994613526570048,0.977667493796526,NA,NA,"adasyn","none","pc1"
1.04062722736992,19,0.109035701140964,0.337412587412587,0.109035701140964,0.989469178082192,0.953367875647668,NA,NA,"adasyn","none","pc3"
1.03984375,30,0.136711281070746,0.533460803059273,0.136711281070746,0.995332982209738,0.970479704797048,NA,NA,"adasyn","none","pc4"
1.01488569909623,19,0.133349534786835,0.753957783641161,0.133349534786835,0.96128996323939,0.919510624597553,0.5,0,"adasyn","none","phoneme"
1.03004291845494,21,0.200871898054997,0.75,0.200871898054997,0.945486111111111,0.874551971326165,0.5,0,"adasyn","none","qsar_biodeg"
1.04458598726115,46,0.0531135531135531,0.226190476190476,0.0531135531135531,0.987982092277127,0.95852534562212,0.952559300873908,0.944444444444444,"adasyn","none","spambase"
1.010550996483,24,0.143653100775194,0.822674418604651,0.143653100775194,0.971571510664909,0.916666666666667,0.918500490146368,0.936416184971098,"adasyn","none","SpeedDating"
1.05047318611987,40,0.0743269230769231,0.509615384615385,0.0743269230769231,1,1,0.5,0,"adasyn","none","steel_plates_fault"
1.00820120284308,20,0.0904081632653061,0.202721088435374,0.0904081632653061,0.995061234765353,0.970666666666667,0.934848282909059,0.897018970189702,"adasyn","none","us_crime"
1.00153139356815,35,0.102582507607084,0.538503549972693,0.102582507607084,0.997478941465626,0.991852254209669,0.5,0,"adasyn","none","wilt"
1.00169959634587,20,0.124309978768577,0.717091295116773,0.124309978768577,0.998627393749796,0.98840885142255,0.97029400594796,0.953340402969247,"adasyn","none","wine_quality"
1.01200564971751,35,0.0820050125313283,0.33859649122807,0.0820050125313283,0.999704509917386,0.991212653778559,0.968567242461925,0.947735191637631,"adasyn","none","yeast_me2"
1.00719748088169,17,0.279807438670535,0.548206278026906,0.279807438670535,0.998949299952241,0.989921612541993,0.989917804087173,0.986577181208054,"adasyn","none","yeast_ml8"
1.00266086115143,34,0.149296675191816,0.70048309178744,0.149296675191816,0.999511364780048,0.990969295605057,0.986122030447079,0.97708082026538,"ans","none","abalone_19"
1.00531067445566,16,0.10506287227002,0.181336863004633,0.10506287227002,0.981458510724025,0.928336620644313,0.891632239730611,0.840369393139842,"ans","none","abalone"
1.09879703097005,33,0.15175521208428,0.719683120048751,0.15175521208428,0.985476480413495,0.965116279069767,0.939575399932712,0.954598370197904,"ans","none","churn"
1.09329845540608,20,0.218337299226651,0.767400356930399,0.218337299226651,0.934141119435375,0.863545150501672,NA,NA,"ans","none","jm1"
1.12705436156764,22,0.159192219370525,0.790490341753343,0.159192219370525,0.961604261957948,0.906451612903226,NA,NA,"ans","none","kc1"
1.8438995215311,33,0.123824314100267,0.74664914586071,0.123824314100267,0.932901141101402,0.823996821613031,NA,NA,"ans","none","MagicTelescope"
1.01185734136174,40,0.0746085655077136,0.499654616624453,0.0746085655077136,0.997812207863157,0.986072423398329,0.971210470863088,0.972527472527473,"ans","none","mammography"
1.00593220338983,24,0.0837293206617388,0.209081309398099,0.0837293206617388,0.995655664585192,0.976890756302521,0.5,0,"ans","none","ozone_level_8hr"
1.04559270516717,16,0.167901234567901,0.730864197530864,0.167901234567901,0.993607573317718,0.972431077694236,NA,NA,"ans","none","pc1"
1.03161764705882,30,0.1381038647343,0.826086956521739,0.1381038647343,0.985806197478992,0.954128440366973,NA,NA,"ans","none","pc3"
1.01346001583531,40,0.0852854330708661,0.509842519685039,0.0852854330708661,0.989552331349206,0.956521739130435,NA,NA,"ans","none","pc4"
1.22765273311897,20,0.162049062049062,0.776334776334776,0.162049062049062,0.958336139122237,0.893951296150825,0.5,0,"ans","none","phoneme"
1.96348314606742,22,0.199134199134199,0.338095238095238,0.199134199134199,0.950765306122449,0.842105263157895,0.5,0,"ans","none","qsar_biodeg"
1.53778268063982,40,0.0937839305103149,0.800217155266015,0.0937839305103149,0.984137563316449,0.934246575342466,0.937587013833348,0.960573476702509,"ans","none","spambase"
1.18732782369146,26,0.147335423197492,0.721003134796238,0.147335423197492,0.972761105392351,0.928327645051195,0.909988914403357,0.936416184971098,"ans","none","SpeedDating"
1.88410104011887,44,0.0654287722586692,0.667525773195876,0.0654287722586692,1,1,0.5,0,"ans","none","steel_plates_fault"
